block,blockType,meanTrial_rt,og_acc,pm_acc,pm_cost,subj
"('maintain1', 2)",Maintain,0.9417746861775717,1.0,1.0,0.2559680060774452,s01
"('maintain1', 2)",Maintain,0.9603445529937744,1.0,1.0,0.27453787289364795,s01
"('maintain1', 2)",Maintain,0.8819716410203413,1.0,1.0,0.19616496092021485,s01
"('maintain1', 2)",Maintain,0.9687246481577556,0.9230769230769232,1.0,0.28291796805762903,s01
"('maintain1', 2)",Maintain,0.7730613855215219,0.9285714285714286,1.0,0.08725470542139546,s01
"('maintain1', 2)",Maintain,1.0054802099863691,0.75,0.0,0.3196735298862424,s01
"('maintain1', 2)",Maintain,0.9582752227783204,1.0,1.0,0.2724685426781939,s01
"('maintain1', 2)",Maintain,0.9587853505061223,1.0,1.0,0.2729786704059959,s01
"('maintain1', 2)",Maintain,1.0479556719462078,0.8571428571428571,1.0,0.3621489918460813,s01
"('maintain1', 2)",Maintain,1.0035906488245183,0.9166666666666666,1.0,0.31778396872439185,s01
"('maintain1', 2)",Maintain,0.8933004273308648,0.9,0.0,0.20749374723073832,s01
"('maintain1', 2)",Maintain,0.8909692287445068,1.0,1.0,0.20516254864438035,s01
"('maintain1', 2)",Maintain,1.103539307912191,1.0,1.0,0.4177326278120642,s01
"('maintain1', 2)",Maintain,0.9269725799560546,0.9090909090909092,1.0,0.24116589985592815,s01
"('maintain1', 2)",Maintain,0.8442106842994691,0.8888888888888888,0.0,0.15840400419934253,s01
"('maintain1', 2)",Maintain,0.9830408573150636,1.0,1.0,0.29723417721493706,s01
"('maintain1', 2)",Maintain,0.8629317794527326,1.0,1.0,0.17712509935260612,s01
"('maintain1', 2)",Maintain,0.838555592757005,0.9285714285714286,1.0,0.1527489126568785,s01
"('maintain1', 2)",Maintain,0.6528871854146322,0.75,0.0,-0.03291949468549426,s01
"('maintain1', 2)",Maintain,0.7947497538157872,1.0,1.0,0.1089430737156607,s01
"('maintain2', 5)",Maintain,0.8735436598459879,0.75,1.0,0.18773697974586145,s01
"('maintain2', 5)",Maintain,0.8694464365641276,0.5,1.0,0.1836397564640011,s01
"('maintain2', 5)",Maintain,0.8891253471374512,0.9230769230769232,1.0,0.2033186670373247,s01
"('maintain2', 5)",Maintain,0.7692920168240865,0.8571428571428571,1.0,0.08348533672396008,s01
"('maintain2', 5)",Maintain,1.0236260890960691,1.0,1.0,0.3378194089959429,s01
"('maintain2', 5)",Maintain,0.744764349677346,0.8,1.0,0.058957669577219485,s01
"('maintain2', 5)",Maintain,0.7068910965552697,0.9333333333333332,1.0,0.02108441645514325,s01
"('maintain2', 5)",Maintain,0.7943413972854614,0.9090909090909092,1.0,0.10853471718533493,s01
"('maintain2', 5)",Maintain,0.7477651664188929,0.7,1.0,0.06195848631876655,s01
"('maintain2', 5)",Maintain,0.8774917125701904,0.8333333333333334,1.0,0.191685032470064,s01
"('maintain2', 5)",Maintain,0.8605262835820516,1.0,1.0,0.17471960348192514,s01
"('maintain2', 5)",Maintain,0.8524275847843715,0.875,1.0,0.16662090468424506,s01
"('maintain2', 5)",Maintain,0.9740038216114044,0.8888888888888888,1.0,0.28819714151127795,s01
"('maintain2', 5)",Maintain,0.6628623008728027,0.8461538461538461,0.0,-0.02294437922732373,s01
"('maintain2', 5)",Maintain,0.91978391011556,0.75,1.0,0.2339772300154335,s01
"('maintain2', 5)",Maintain,0.8856233869280133,0.875,1.0,0.19981670682788688,s01
"('maintain2', 5)",Maintain,0.744157338142395,0.9090909090909092,1.0,0.05835065804226858,s01
"('maintain2', 5)",Maintain,0.7835588795798165,0.7777777777777778,1.0,0.09775219947969004,s01
"('maintain2', 5)",Maintain,0.7607444822788239,0.8,1.0,0.07493780217869739,s01
"('maintain2', 5)",Maintain,0.8908092260360718,0.7142857142857143,0.0,0.20500254593594536,s01
"('monitor1', 3)",Monitor,1.0536251068115234,0.8461538461538461,1.0,0.36781842671139703,s01
"('monitor1', 3)",Monitor,0.8458355903625489,0.7692307692307693,1.0,0.1600289102624224,s01
"('monitor1', 3)",Monitor,0.8360514640808105,0.75,1.0,0.15024478398068408,s01
"('monitor1', 3)",Monitor,0.7976092208515514,0.9166666666666666,1.0,0.11180254075142493,s01
"('monitor1', 3)",Monitor,1.021259307861328,1.0,1.0,0.3354526277612017,s01
"('monitor1', 3)",Monitor,0.8011150360107422,1.0,1.0,0.11530835591061572,s01
"('monitor1', 3)",Monitor,0.9771547555923462,1.0,1.0,0.2913480754922197,s01
"('monitor1', 3)",Monitor,0.8475590185685591,0.8,1.0,0.16175233846843262,s01
"('monitor1', 3)",Monitor,0.7108195357852511,0.8181818181818182,1.0,0.02501285568512468,s01
"('monitor1', 3)",Monitor,0.9762863261359078,1.0,1.0,0.29047964603578136,s01
"('monitor1', 3)",Monitor,0.8933967351913452,0.8,1.0,0.20759005509121875,s01
"('monitor1', 3)",Monitor,,0.0,0.0,,s01
"('monitor1', 3)",Monitor,0.8940718968709309,0.8181818181818182,1.0,0.20826521677080456,s01
"('monitor1', 3)",Monitor,1.0242426097393036,0.8888888888888888,1.0,0.3384359296391771,s01
"('monitor1', 3)",Monitor,0.6367825931972928,0.6923076923076923,0.0,-0.04902408690283366,s01
"('monitor1', 3)",Monitor,1.0336803793907166,0.8666666666666667,1.0,0.3478736992905901,s01
"('monitor1', 3)",Monitor,0.8466893434524536,1.0,1.0,0.16088266335232715,s01
"('monitor1', 3)",Monitor,0.6904129683971405,0.8888888888888888,0.0,0.004606288297014038,s01
"('monitor1', 3)",Monitor,1.0308890342712402,1.0,1.0,0.34508235417111377,s01
"('monitor1', 3)",Monitor,0.8225085735321045,0.875,1.0,0.13670189343197806,s01
"('monitor2', 6)",Monitor,0.695206880569458,1.0,1.0,0.009400200469331543,s01
"('monitor2', 6)",Monitor,1.0472944974899292,1.0,1.0,0.3614878173898027,s01
"('monitor2', 6)",Monitor,0.7867405414581299,0.8,1.0,0.10093386135800342,s01
"('monitor2', 6)",Monitor,0.9711232582728068,0.9230769230769232,1.0,0.2853165781726803,s01
"('monitor2', 6)",Monitor,0.8980109041387384,0.7857142857142857,1.0,0.21220422403861194,s01
"('monitor2', 6)",Monitor,0.8922350406646729,1.0,1.0,0.2064283605645464,s01
"('monitor2', 6)",Monitor,0.8230831282479423,0.875,1.0,0.1372764481478158,s01
"('monitor2', 6)",Monitor,0.7778129577636719,1.0,1.0,0.0920062776635454,s01
"('monitor2', 6)",Monitor,0.9055250287055968,0.5,1.0,0.2197183486054705,s01
"('monitor2', 6)",Monitor,0.9121062225765652,1.0,1.0,0.2262995424764388,s01
"('monitor2', 6)",Monitor,0.878032922744751,1.0,1.0,0.1922262426446245,s01
"('monitor2', 6)",Monitor,0.8079833984375,0.9166666666666666,1.0,0.12217671833737355,s01
"('monitor2', 6)",Monitor,0.949664831161499,0.9090909090909092,1.0,0.26385815106137256,s01
"('monitor2', 6)",Monitor,0.6144497394561768,0.9333333333333332,0.0,-0.0713569406439497,s01
"('monitor2', 6)",Monitor,0.6605594158172607,1.0,1.0,-0.02524726428286572,s01
"('monitor2', 6)",Monitor,0.7544739842414856,1.0,1.0,0.06866730414135913,s01
"('monitor2', 6)",Monitor,0.6909923553466797,0.9230769230769232,1.0,0.005185675246553223,s01
"('monitor2', 6)",Monitor,0.7255838257925851,0.7777777777777778,0.0,0.039777145692458604,s01
"('monitor2', 6)",Monitor,0.8049795844338157,1.0,1.0,0.1191729043336892,s01
"('monitor2', 6)",Monitor,0.7447971403598785,0.8,1.0,0.058990460259752076,s01
"('mnm1', 4)",MnM,0.9862720966339112,0.7,0.0,0.3004654165337847,s01
"('mnm1', 4)",MnM,1.009719235556466,0.7777777777777778,0.0,0.3239125554563397,s01
"('mnm1', 4)",MnM,0.8428819179534912,0.3333333333333333,0.0,0.15707523785336475,s01
"('mnm1', 4)",MnM,1.124157925446828,1.0,1.0,0.4383512453467017,s01
"('mnm1', 4)",MnM,0.7939806381861368,0.8571428571428571,1.0,0.10817395808601038,s01
"('mnm1', 4)",MnM,0.9973647832870484,0.9090909090909092,1.0,0.3115581031869219,s01
"('mnm1', 4)",MnM,1.2071486314137776,1.0,1.0,0.5213419513136511,s01
"('mnm1', 4)",MnM,1.2268993457158406,0.75,0.0,0.5410926656157141,s01
"('mnm1', 4)",MnM,0.8694145679473877,0.6666666666666666,0.0,0.18360788784726126,s01
"('mnm1', 4)",MnM,1.134760816891988,0.75,0.0,0.4489541367918616,s01
"('mnm1', 4)",MnM,1.3110624876889316,0.7857142857142857,0.0,0.6252558075888052,s01
"('mnm1', 4)",MnM,1.078906226158142,1.0,1.0,0.3930995460580157,s01
"('mnm1', 4)",MnM,1.1061942875385284,0.7272727272727273,1.0,0.42038760743840203,s01
"('mnm1', 4)",MnM,0.8949952342293479,0.7857142857142857,1.0,0.20918855412922144,s01
"('mnm1', 4)",MnM,1.1118751005692915,0.8461538461538461,1.0,0.42606842046916493,s01
"('mnm1', 4)",MnM,1.2322978973388672,1.0,1.0,0.5464912172387407,s01
"('mnm1', 4)",MnM,0.7873663663864136,0.7692307692307693,0.0,0.10155968628628707,s01
"('mnm1', 4)",MnM,0.9514692379878118,0.9333333333333332,1.0,0.2656625578876853,s01
"('mnm1', 4)",MnM,1.0608385006586711,1.0,1.0,0.3750318205585447,s01
"('mnm1', 4)",MnM,1.0008386135101321,1.0,1.0,0.31503193341000546,s01
"('mnm2', 7)",MnM,1.0045998746698552,0.7857142857142857,0.0,0.3187931945697288,s01
"('mnm2', 7)",MnM,1.1456361346774628,0.7142857142857143,1.0,0.4598294545773366,s01
"('mnm2', 7)",MnM,0.8349106992994036,0.875,0.0,0.14910401919927718,s01
"('mnm2', 7)",MnM,1.0800160765647888,0.8571428571428571,0.0,0.3942093964646624,s01
"('mnm2', 7)",MnM,1.2042213848658971,0.7777777777777778,1.0,0.5184147047657707,s01
"('mnm2', 7)",MnM,0.96164470911026,1.0,1.0,0.27583802901013355,s01
"('mnm2', 7)",MnM,0.9745664596557616,0.9166666666666666,1.0,0.28875977955563525,s01
"('mnm2', 7)",MnM,0.8839338090684679,0.9,0.0,0.1981271289683414,s01
"('mnm2', 7)",MnM,0.8802469306521945,0.9,0.0,0.19444025055206804,s01
"('mnm2', 7)",MnM,0.8374793052673339,1.0,1.0,0.15167262516720748,s01
"('mnm2', 7)",MnM,1.317628557031805,0.8461538461538461,0.0,0.6318218769316785,s01
"('mnm2', 7)",MnM,0.8112583637237549,0.9090909090909092,1.0,0.12545168362362846,s01
"('mnm2', 7)",MnM,1.1602514130728585,0.875,1.0,0.474444732972732,s01
"('mnm2', 7)",MnM,0.9294793055607722,0.9285714285714286,1.0,0.2436726254606457,s01
"('mnm2', 7)",MnM,,0.0,0.0,,s01
"('mnm2', 7)",MnM,1.067357063293457,0.5,0.0,0.38155038319333057,s01
"('mnm2', 7)",MnM,0.8095873269167814,0.8461538461538461,0.0,0.1237806468166549,s01
"('mnm2', 7)",MnM,1.078145337104797,0.9090909090909092,1.0,0.3923386570046709,s01
"('mnm2', 7)",MnM,1.0751615437594326,0.9166666666666666,1.0,0.38935486365930616,s01
"('mnm2', 7)",MnM,0.8097382954188755,0.7777777777777778,1.0,0.12393161531874908,s01
